,Zip Code,Mean,Median,Max,Min
0,11211,143.76819327108345,119.0,7000,25
1,10002,168.81536564132327,135.0,9999,23
2,11206,94.99423758865248,75.0,9000,10
3,10009,165.07102989525194,135.0,5200,23
4,11221,89.58732450862415,70.0,2000,10
5,10003,218.89599332220368,169.0,6000,10
6,11238,138.25986703694355,106.0,6500,10
7,11216,110.02252169097287,85.0,2000,10
8,11222,128.62316425372356,109.0,1600,25
9,10025,158.4312736443884,119.0,9998,10
10,10019,215.50851197982345,175.0,2695,10
11,10011,225.7962764819174,199.0,2700,30
12,11237,86.11498102254967,69.0,2250,18
13,10012,230.58759672017553,190.0,5000,25
14,10014,239.30317877629062,200.0,5000,10
15,10036,212.077208232136,165.0,5400,10
16,10031,99.88337405169088,75.0,9900,10
17,11215,150.0249114986233,130.0,2000,25
18,10027,121.07835024025627,100.0,1222,22
19,10016,214.2455948640896,175.0,3000,25
20,10029,127.42655044298371,100.0,9999,20
21,11249,172.9295372596154,130.0,5999,35
22,11205,154.1454940282302,100.0,8000,21
23,11217,164.35204170286707,130.0,3400,25
24,11225,94.748649119749,80.0,950,20
25,11226,84.75418994413408,70.0,1100,17
26,11233,105.37187379761447,95.0,1000,18
27,10023,223.9577709217123,180.0,9900,29
28,10024,199.2477788746298,165.0,2000,11
29,11201,166.96391752577318,150.0,1500,15
