Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Borough,Neighborhood,Mean_2015,Median_2015,Mean_2016,Median_2016,Mean_2017,Median_2017,Mean_2018,Median_2018
10002,77925.0,41.8,35449.0,30677.0,21214.0,27.22361244786654,Manhattan,Lower East Side,182.400477,150,168.8153656,135,174.1416667,129,171.1281604,130.0
10003,55035.0,32.6,104441.0,91141.0,3973.0,7.219042427546107,Manhattan,Lower East Side,220.32889100000003,180,218.89599330000001,169,220.4912294,160,223.0388268,169.0
10009,60141.0,36.8,60521.0,47782.0,13822.0,22.982657421725612,Manhattan,Lower East Side,177.7785486,150,165.0710299,135,166.54418569999999,135,170.6918799,140.0
10011,50711.0,39.8,123208.0,114218.0,5367.0,10.583502593125752,Manhattan,Chelsea and Clinton,242.8543465,200,225.7962765,199,225.69172930000002,195,235.3826315,190.0
10012,24527.0,34.5,104561.0,85491.0,2631.0,10.726953969095282,Manhattan,Greenwich Village and Soho,255.21976030000002,200,230.58759669999998,190,224.1767464,185,226.86002030000003,185.0
10014,31794.0,36.8,127973.0,122098.0,2164.0,6.80631565704221,Manhattan,Greenwich Village and Soho,252.50082290000003,210,239.3031788,200,244.6524227,200,256.9928841,200.0
10016,51448.0,33.3,109250.0,88762.0,5325.0,10.35025656974032,Manhattan,Gramercy Park and Murray Hill,237.5729145,185,214.24559490000001,175,215.0097819,170,219.99916119999997,175.0
10019,41592.0,39.6,99063.0,94797.0,4963.0,11.932583189074823,Manhattan,Chelsea and Clinton,229.5250494,189,215.50851200000002,175,215.0592724,170,228.5746603,180.0
10023,61514.0,42.6,123951.0,114641.0,4862.0,7.903891796989304,Manhattan,Upper West Side,234.2628205,190,223.9577709,180,219.7922006,182,219.2621694,180.0
10024,58512.0,43.1,126107.0,113584.0,4157.0,7.104525567404977,Manhattan,Upper West Side,205.71611030000003,175,199.24777890000001,165,0.0,0,195.5593486,159.0
10025,94382.0,41.7,82352.0,68995.0,14370.0,15.22536076794304,Manhattan,Upper West Side,183.9379285,145,158.4312736,119,166.1832549,110,166.79062549999998,110.0
10027,65365.0,30.7,45536.0,30256.0,17034.0,26.059817945383614,Manhattan,Central Harlem,128.7090482,110,121.0783502,100,135.2292966,100,135.7075095,100.0
10029,80866.0,34.0,34015.0,27966.0,25037.0,30.96109613434571,Manhattan,East Harlem,126.4614399,100,127.4265504,100,129.8853659,98,140.5720678,95.0
10031,62382.0,34.8,44040.0,26417.0,14407.0,23.094802988041423,Manhattan,Inwood and Washington Heights,104.3956328,80,99.88337405,75,95.55808216,75,98.00326553,75.0
10036,26868.0,37.1,93707.0,77462.0,3868.0,14.396307875539675,Manhattan,Chelsea and Clinton,218.4371245,175,212.0772082,165,213.93210159999998,168,215.99946239999997,170.0
11201,61907.0,35.0,116446.0,77491.0,8224.0,13.284442793222091,Brooklyn,Northwest Brooklyn,180.65195930000002,155,166.9639175,150,174.4396581,145,0.0,0.0
11205,45148.0,30.0,51574.0,28894.0,13155.0,29.137503322406307,Brooklyn,Northwest Brooklyn,165.3754136,115,154.14549399999999,100,140.44034059999998,99,140.64767419999998,99.0
11206,87767.0,29.2,34122.0,21148.0,31999.0,36.45903357754053,Brooklyn,Bushwick and Williamsburg,102.3919704,80,94.99423759,75,94.82142640000001,75,96.82583478,75.0
11211,101560.0,30.6,66113.0,39123.0,26815.0,26.4031114612052,Brooklyn,Greenpoint,150.991682,129,143.7681933,119,145.7592957,113,146.84005290000002,110.0
11215,71015.0,35.5,116893.0,67148.0,5220.0,7.35055974089981,Brooklyn,Northwest Brooklyn,162.9326134,139,150.0249115,130,144.8844733,129,147.09708999999998,129.0
11216,57410.0,34.2,56025.0,34644.0,10801.0,18.813795506009406,Brooklyn,Central Brooklyn,111.90020690000001,90,110.0225217,85,107.35803490000002,85,110.6364352,85.0
11217,39687.0,35.1,99085.0,63967.0,5396.0,13.596391765565551,Brooklyn,Northwest Brooklyn,165.9749734,140,164.3520417,130,163.9941705,130,162.1885121,130.0
11221,84536.0,31.5,47170.0,24707.0,20853.0,24.66759723668023,Brooklyn,Bushwick and Williamsburg,95.71307634,75,89.58732451,70,88.3342673,69,87.62993141,68.0
11222,36845.0,35.0,78287.0,46592.0,4608.0,12.50644592210612,Brooklyn,Greenpoint,140.4325361,120,128.62316429999998,109,124.1351882,100,135.6715843,109.5
11225,59497.0,34.7,51926.0,30351.0,10932.0,18.374035665663815,Brooklyn,Flatbush,0.0,0,94.74864912,80,95.2943805,80,100.77097509999999,83.0
11226,102585.0,34.1,48495.0,24798.0,19255.0,18.769800653116928,Brooklyn,Flatbush,92.68058191,75,84.75418994,70,85.10378259999999,69,85.0334608,69.0
11233,74982.0,33.2,36009.0,22163.0,22477.0,29.97652769998133,Brooklyn,Central Brooklyn,0.0,0,105.37187379999999,95,100.71900079999999,80,99.17221447,80.0
11237,52319.0,30.3,51269.0,23115.0,15303.0,29.24941225940863,Brooklyn,Bushwick and Williamsburg,91.91644153,75,86.11498102,69,80.72876263,65,79.21959355,65.0
11238,55398.0,35.6,79013.0,49004.0,7284.0,13.148489115130511,Brooklyn,Central Brooklyn,144.082211,120,138.25986699999999,106,135.2101273,100,137.8445095,105.0
