zipcode,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Date
11211,28747,28711,28747,28704,28747,28747,28747,28747,28747,28747,28747,28747,22994,22973,28747,28747,28747
11221,21723,21711,21723,21712,21723,21723,21723,21723,21723,21723,21723,21723,17723,17711,21723,21723,21723
11206,18448,18437,18448,18418,18448,18448,18448,18448,18448,18448,18448,18448,14455,14444,18448,18448,18448
11216,16506,16506,16506,16485,16506,16506,16506,16506,16506,16506,16506,16506,13207,13201,16506,16506,16506
10002,16058,16046,16058,16040,16058,16058,16058,16058,16058,16058,16058,16058,13146,13136,16058,16058,16058
10019,15162,15124,15162,15151,15162,15162,15162,15162,15162,15162,15162,15162,11157,11149,15162,15162,15162
10009,14926,14926,14926,14915,14926,14926,14926,14926,14926,14926,14926,14926,12284,12276,14926,14926,14926
11238,14689,14689,14689,14662,14689,14689,14689,14689,14689,14689,14689,14689,11997,11986,14689,14689,14689
10003,14217,14193,14217,14208,14217,14217,14217,14217,14217,14217,14217,14217,11086,11078,14217,14217,14217
11222,13760,13756,13760,13749,13760,13760,13760,13760,13760,13760,13760,13760,10601,10590,13760,13760,13760
10025,13206,13183,13206,13197,13206,13206,13206,13206,13206,13206,13206,13206,9706,9698,13206,13206,13206
11237,12892,12891,12892,12881,12892,12892,12892,12892,12892,12892,12892,12892,9945,9938,12892,12892,12892
10036,11161,11161,11161,11155,11161,11161,11161,11161,11161,11161,11161,11161,8676,8674,11161,11161,11161
11215,11134,11134,11134,11126,11134,11134,11134,11134,11134,11134,11134,11134,9015,9008,11134,11134,11134
10027,10773,10773,10773,10763,10773,10773,10773,10773,10773,10773,10773,10773,8686,8676,10773,10773,10773
10016,10730,10730,10730,10723,10730,10730,10730,10730,10730,10730,10730,10730,7838,7835,10730,10730,10730
10031,10718,10718,10718,10710,10718,10718,10718,10718,10718,10718,10718,10718,8532,8524,10718,10718,10718
10011,10663,10663,10663,10660,10663,10663,10663,10663,10663,10663,10663,10663,8652,8647,10663,10663,10663
11249,10095,10087,10095,10065,10095,10095,10095,10095,10095,10095,10095,10095,7921,7914,10095,10095,10095
11233,10034,10034,10034,10026,10034,10034,10034,10034,10034,10034,10034,10034,8503,8498,10034,10034,10034
10012,9830,9818,9830,9825,9830,9830,9830,9830,9830,9830,9830,9830,7821,7817,9830,9830,9830
10014,9556,9556,9556,9554,9556,9556,9556,9556,9556,9556,9556,9556,7642,7638,9556,9556,9556
10029,9387,9387,9387,9374,9387,9387,9387,9387,9387,9387,9387,9387,7975,7968,9387,9387,9387
11205,8986,8986,8986,8980,8986,8986,8986,8986,8986,8986,8986,8986,7208,7204,8986,8986,8986
11226,8368,8368,8368,8363,8368,8368,8368,8368,8368,8368,8368,8368,6653,6646,8368,8368,8368
11225,7938,7938,7938,7932,7938,7938,7938,7938,7938,7938,7938,7938,6333,6329,7938,7938,7938
11217,7225,7225,7225,7217,7225,7225,7225,7225,7225,7225,7225,7225,5888,5882,7225,7225,7225
11213,6482,6482,6482,6471,6482,6482,6482,6482,6482,6482,6482,6482,5073,5070,6482,6482,6482
10023,6389,6386,6389,6386,6389,6389,6389,6389,6389,6389,6389,6389,4897,4895,6389,6389,6389
10024,6386,6386,6386,6375,6386,6386,6386,6386,6386,6386,6386,6386,5088,5086,6386,6386,6386
