Count,Zip Codes,Borough,Neighborhood,Lat,Lon
4,11206,Brooklyn,Bushwick and Williamsburg,#NAME?,
4,11221,Brooklyn,Bushwick and Williamsburg,,
4,11237,Brooklyn,Bushwick and Williamsburg,,
4,11216,Brooklyn,Central Brooklyn,,
3,11233,Brooklyn,Central Brooklyn,,
4,11238,Brooklyn,Central Brooklyn,,
4,10027,Manhattan,Central Harlem,,
4,10011,Manhattan,Chelsea and Clinton,,
4,10019,Manhattan,Chelsea and Clinton,,
4,10036,Manhattan,Chelsea and Clinton,,
4,10029,Manhattan,East Harlem,,
3,11225,Brooklyn,Flatbush,,
4,11226,Brooklyn,Flatbush,,
4,10016,Manhattan,Gramercy Park and Murray Hill,,
4,11211,Brooklyn,Greenpoint,,
4,11222,Brooklyn,Greenpoint,,
4,10012,Manhattan,Greenwich Village and Soho,,
4,10014,Manhattan,Greenwich Village and Soho,,
4,10031,Manhattan,Inwood and Washington Heights,,
4,10002,Manhattan,Lower East Side,,
4,10003,Manhattan,Lower East Side,,
4,10009,Manhattan,Lower East Side,,
3,11201,Brooklyn,Northwest Brooklyn,,
4,11205,Brooklyn,Northwest Brooklyn,,
4,11215,Brooklyn,Northwest Brooklyn,,
4,11217,Brooklyn,Northwest Brooklyn,,
4,10023,Manhattan,Upper West Side,,
3,10024,Manhattan,Upper West Side,,
4,10025,Manhattan,Upper West Side,,
