Zip Codes,Borough,Neighborhood,Mean_2015,Median_2015,Mean_2016,Median_2016,Mean_2017,Median_2017,Mean_2018,Median_2018
11206,Brooklyn,Bushwick and Williamsburg,102.3919704,80,94.99423759,75,94.8214264,75,96.82583478,75
11221,Brooklyn,Bushwick and Williamsburg,95.71307634,75,89.58732451,70,88.3342673,69,87.62993141,68
11237,Brooklyn,Bushwick and Williamsburg,91.91644153,75,86.11498102,69,80.72876263,65,79.21959355,65
11216,Brooklyn,Central Brooklyn,111.9002069,90,110.0225217,85,107.3580349,85,110.6364352,85
11238,Brooklyn,Central Brooklyn,144.082211,120,138.259867,106,135.2101273,100,137.8445095,105
10027,Manhattan,Central Harlem,128.7090482,110,121.0783502,100,135.2292966,100,135.7075095,100
10011,Manhattan,Chelsea and Clinton,242.8543465,200,225.7962765,199,225.6917293,195,235.3826315,190
10019,Manhattan,Chelsea and Clinton,229.5250494,189,215.508512,175,215.0592724,170,228.5746603,180
10036,Manhattan,Chelsea and Clinton,218.4371245,175,212.0772082,165,213.9321016,168,215.9994624,170
10029,Manhattan,East Harlem,126.4614399,100,127.4265504,100,129.8853659,98,140.5720678,95
11226,Brooklyn,Flatbush,92.68058191,75,84.75418994,70,85.1037826,69,85.0334608,69
10016,Manhattan,Gramercy Park and Murray Hill,237.5729145,185,214.2455949,175,215.0097819,170,219.9991612,175
11211,Brooklyn,Greenpoint,150.991682,129,143.7681933,119,145.7592957,113,146.8400529,110
11222,Brooklyn,Greenpoint,140.4325361,120,128.6231643,109,124.1351882,100,135.6715843,109.5
10012,Manhattan,Greenwich Village and Soho,255.2197603,200,230.5875967,190,224.1767464,185,226.8600203,185
10014,Manhattan,Greenwich Village and Soho,252.5008229,210,239.3031788,200,244.6524227,200,256.9928841,200
10031,Manhattan,Inwood and Washington Heights,104.3956328,80,99.88337405,75,95.55808216,75,98.00326553,75
10002,Manhattan,Lower East Side,182.400477,150,168.8153656,135,174.1416667,129,171.1281604,130
10003,Manhattan,Lower East Side,220.328891,180,218.8959933,169,220.4912294,160,223.0388268,169
10009,Manhattan,Lower East Side,177.7785486,150,165.0710299,135,166.5441857,135,170.6918799,140
11205,Brooklyn,Northwest Brooklyn,165.3754136,115,154.145494,100,140.4403406,99,140.6476742,99
11215,Brooklyn,Northwest Brooklyn,162.9326134,139,150.0249115,130,144.8844733,129,147.09709,129
11217,Brooklyn,Northwest Brooklyn,165.9749734,140,164.3520417,130,163.9941705,130,162.1885121,130
10023,Manhattan,Upper West Side,234.2628205,190,223.9577709,180,219.7922006,182,219.2621694,180
10025,Manhattan,Upper West Side,183.9379285,145,158.4312736,119,166.1832549,110,166.7906255,110
11233,Brooklyn,Central Brooklyn,0,0,105.3718738,95,100.7190008,80,99.17221447,80
11225,Brooklyn,Flatbush,0,0,94.74864912,80,95.2943805,80,100.7709751,83
11201,Brooklyn,Northwest Brooklyn,180.6519593,155,166.9639175,150,174.4396581,145,0,0
10024,Manhattan,Upper West Side,205.7161103,175,199.2477789,165,0,0,195.5593486,159
