0,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec
1,90,64,65,51,42,59,79,51,83,79,80,79,62,58,54,48,47,70,48,74,79,85,92,71,68,59,52,19,45,60,60,80,81,96,84,78,76,70,46
2,91,57,63,57,40,50,61,60,78,76,79,81,63,70,51,41,45,64,63,75,76,87,86,68,73,72,48,26,41,44,43,90,87,95,86,81,77,72,56
3,93,55,72,55,45,59,50,56,70,78,80,75,72,72,47,43,33,39,63,65,73,88,87,69,71,74,48,30,31,49,43,92,66,92,85,90,74,65,55
4,85,63,70,51,36,59,45,52,83,84,81,80,69,61,47,52,34,30,51,64,70,85,84,80,75,56,51,29,46,44,56,84,71,86,84,92,76,55,46
5,83,67,71,51,29,44,43,57,71,86,83,84,67,62,49,34,43,37,65,59,67,85,78,85,83,61,61,19,40,43,45,76,75,90,91,89,71,53,37
6,87,73,74,53,41,40,48,54,83,91,87,80,73,59,46,33,49,45,53,67,58,77,76,72,82,66,59,13,37,47,62,66,71,80,92,93,68,59,40
7,92,73,72,54,46,47,58,60,85,89,86,85,75,53,46,26,42,56,51,56,67,80,71,71,81,49,44,18,45,39,49,77,71,78,90,75,79,62,39
8,97,72,56,49,46,39,50,66,67,86,86,89,68,66,45,25,62,59,57,57,69,84,78,71,77,49,39,31,33,39,46,74,82,84,90,71,74,56,36
9,90,78,59,55,47,36,43,72,71,72,87,91,65,59,40,23,44,61,67,63,80,81,85,70,77,55,35,44,39,42,49,77,83,87,86,62,77,52,36
10,79,65,57,60,59,39,50,63,77,80,86,90,64,56,35,46,32,47,74,63,85,84,83,72,81,51,39,43,50,40,51,66,73,93,86,64,80,50,39
11,81,69,58,61,40,31,65,76,88,81,91,83,63,63,35,52,48,29,80,62,90,85,82,76,77,38,41,53,62,45,51,73,73,88,80,74,77,46,41
12,79,77,61,66,44,27,59,80,83,82,93,78,66,50,46,66,40,29,76,65,93,88,77,78,64,46,50,61,62,43,63,63,75,84,84,77,68,49,41
13,80,72,58,67,30,22,58,65,74,85,96,83,67,61,43,62,39,36,65,53,94,90,83,83,67,47,31,58,38,40,82,54,78,84,75,76,55,50,40
14,77,69,49,67,38,15,62,73,79,88,94,91,62,62,42,34,41,32,66,67,84,73,80,81,72,48,32,25,53,41,77,71,84,88,82,75,58,43,51
15,84,64,58,68,51,35,65,59,85,88,92,74,65,56,34,38,47,26,65,68,76,84,74,81,74,51,28,30,62,48,44,88,76,83,86,80,68,38,52
16,88,64,67,53,52,54,68,66,74,90,87,73,69,61,27,43,35,39,87,79,68,87,87,82,69,57,39,36,58,40,60,64,85,90,88,84,60,45,46
17,89,56,52,59,42,39,75,64,78,89,85,77,81,61,39,42,41,47,74,90,74,85,83,81,58,47,38,36,40,48,47,71,91,88,87,79,61,47,46
18,87,50,58,57,31,36,82,68,87,93,85,82,81,64,58,41,63,39,67,92,85,88,82,73,72,56,47,32,44,43,55,67,91,85,85,79,50,44,40
19,83,53,64,40,28,39,73,73,88,83,88,76,85,63,31,49,65,47,54,91,88,92,86,78,71,59,55,41,49,47,49,56,88,83,72,81,60,50,42
20,79,70,64,43,37,61,69,76,84,85,83,82,70,42,33,45,55,52,66,65,83,94,81,79,73,47,51,52,67,39,50,81,83,82,74,72,62,47,47
21,73,76,53,56,36,55,73,66,87,90,86,84,69,41,40,49,47,59,53,69,83,92,87,80,78,58,39,50,78,39,63,79,83,79,79,72,51,44,61
22,71,75,55,62,30,52,79,70,86,94,79,86,57,41,49,48,57,50,57,61,83,92,89,82,76,56,50,49,59,50,67,68,75,79,82,74,50,28,54
23,80,65,44,64,27,40,71,78,83,96,82,87,61,45,47,44,65,42,66,69,83,79,81,87,74,43,48,60,42,49,68,81,66,80,77,66,63,32,43
24,82,57,46,72,35,60,68,73,84,94,88,71,62,48,47,38,70,57,60,69,84,73,80,91,74,50,41,44,55,51,66,83,84,82,82,69,54,49,43
25,76,68,50,66,39,61,69,88,86,93,86,70,52,54,50,51,63,62,54,59,83,71,78,88,67,57,38,34,44,45,60,86,81,77,80,73,51,55,40
26,72,58,60,59,48,39,60,90,87,89,90,74,51,50,50,56,44,42,60,73,79,77,78,84,58,51,28,38,52,50,70,89,78,85,83,82,50,53,43
27,71,59,64,61,47,41,62,87,83,91,89,74,55,50,60,43,54,53,70,71,77,78,78,87,62,51,24,56,56,47,59,80,73,86,88,72,51,45,44
28,78,69,63,46,42,60,59,92,76,95,89,69,51,52,40,39,59,46,85,71,78,85,76,79,69,54,18,55,61,52,68,69,83,85,94,65,52,42,60
29,83,73,48,46,41,61,58,87,83,85,91,64,64,60,46,43,0,60,85,61,82,77,68,68,67,63,22,47,,53,59,89,89,82,92,72,56,46,57
30,79,61,47,48,39,0,65,82,85,84,86,59,76,58,40,37,0,52,67,60,88,82,78,66,61,53,23,36,,62,51,78,93,78,90,70,55,43,40
31,0,56,0,0,56,0,0,85,0,78,89,0,54,0,44,34,0,43,0,75,0,88,81,,57,,21,33,,58,,68,,82,78,,64,,47
