Zip Code,Mean_2015,Median_2015,Mean_2016,Median_2016,Mean_2017,Median_2017,Mean_2018,Median_2018
11211,150.99168199632092,129.0,143.76819327108342,119.0,145.75929566272112,113.0,146.84005287508262,110.0
10002,182.40047701647882,150.0,168.81536564132327,135.0,174.14166666666668,129.0,171.12816041848302,130.0
10009,177.77854861799358,150.0,165.07102989525194,135.0,166.54418572029738,135.0,170.6918799410425,140.0
10003,220.3288910042837,180.0,218.89599332220368,169.0,220.49122941991072,160.0,223.0388267566997,169.0
11206,102.391970417327,80.0,94.99423758865248,75.0,94.82142640364187,75.0,96.82583477883782,75.0
11238,144.08221099887766,120.0,138.25986703694358,106.0,135.21012732759257,100.0,137.84450949690245,105.0
11221,95.71307634164776,75.0,89.58732450862415,70.0,88.3342673017652,69.0,87.62993140910555,68.0
10011,242.85434648582,200.0,225.79627648191743,199.0,225.6917293233083,195.0,235.3826315295883,190.0
11216,111.90020690752827,90.0,110.02252169097288,85.0,107.35803485659392,85.0,110.63643523567188,85.0
10014,252.5008229098091,210.0,239.30317877629062,200.0,244.65242265032109,200.0,256.9928840519046,200.0
10019,229.5250494396836,189.0,215.50851197982345,175.0,215.05927240461398,170.0,228.57466033504815,180.0
10025,183.9379285456514,145.0,158.4312736443884,119.0,166.18325493885231,110.0,166.7906254732697,110.0
10012,255.21976026153285,200.0,230.58759672017555,190.0,224.1767463666198,185.0,226.86002034587997,185.0
11222,140.4325360598868,120.0,128.62316425372356,109.0,124.13518821603928,100.0,135.67158430232558,109.5
11237,91.91644152836744,75.0,86.11498102254967,69.0,80.72876263316034,65.0,79.21959354638534,65.0
10036,218.437124507976,175.0,212.077208232136,165.0,213.9321016166282,168.0,215.99946241376225,170.0
10016,237.5729144555296,185.0,214.24559486408958,175.0,215.00978189028424,170.0,219.99916123019568,175.0
11215,162.93261339092874,139.0,150.0249114986233,130.0,144.8844733012426,129.0,147.09708999461108,129.0
11249,176.33032824780395,140.0,172.92953725961542,130.0,170.6542356137318,135.0,168.0455671124319,135.0
10031,104.39563277764734,80.0,99.88337405169088,75.0,95.55808216239409,75.0,98.0032655346147,75.0
10027,128.70904817861341,110.0,121.07835024025628,100.0,135.2292966229297,100.0,135.70750951452706,100.0
11205,165.3754135912446,115.0,154.1454940282302,100.0,140.44034055339927,99.0,140.64767415980413,99.0
10029,126.4614399180118,100.0,127.42655044298373,100.0,129.88536585365853,98.0,140.5720677532758,95.0
11217,165.97497337593182,140.0,164.3520417028671,130.0,163.9941704742398,130.0,162.18851211072663,130.0
10023,234.26282051282055,190.0,223.9577709217123,180.0,219.79220055710303,182.0,219.26216935357647,180.0
10024,205.7161103047896,175.0,199.24777887462983,165.0,,,195.55934857500785,159.0
11201,180.65195927182967,155.0,166.96391752577318,150.0,174.43965811965813,145.0,,
10128,184.3651543793321,150.0,,,,,,
11226,92.68058191018343,75.0,84.75418994413408,70.0,85.10378260275844,69.0,85.03346080305926,69.0
10013,294.4594681191926,185.0,,,,,,
11225,,,94.74864911974899,80.0,95.29438050101557,80.0,100.77097505668934,83.0
11233,,,105.37187379761448,95.0,100.71900077659849,80.0,99.17221447079928,80.0
10032,,,,,92.66502821773165,70.0,,
11213,,,,,,,109.69947547053378,77.0
